user_id,application_id,review_status,reviewer,review_date
u104,app17,APPROVED,manager1,2026-01-19 02:35:09.754240
u166,app12,PENDING,manager1,2025-05-05 02:35:09.754283
u221,app8,PENDING,manager2,2025-04-08 02:35:09.754323
u178,app10,NOT_REVIEWED,manager2,2026-02-05 02:35:09.754365
u236,app3,PENDING,manager2,2025-12-19 02:35:09.754407
u176,app14,APPROVED,manager2,2026-02-25 02:35:09.754447
u170,app9,NOT_REVIEWED,,2025-04-15 02:35:09.754488
u180,app6,APPROVED,manager1,2025-09-03 02:35:09.754529
u137,app1,NOT_REVIEWED,manager2,2026-01-09 02:35:09.754571
u159,app10,PENDING,,2025-04-21 02:35:09.754611
u164,app17,NOT_REVIEWED,manager2,2025-10-14 02:35:09.754652
u243,app16,APPROVED,manager2,2026-02-07 02:35:09.754694
u145,app8,APPROVED,,2025-06-26 02:35:09.754735
u140,app13,APPROVED,,2025-07-15 02:35:09.754786
u168,app8,APPROVED,manager1,2026-01-24 02:35:09.754827
u102,app5,PENDING,manager1,2026-02-22 02:35:09.754868
u226,app5,APPROVED,,2026-03-02 02:35:09.754914
u105,app1,PENDING,,2026-02-05 02:35:09.754954
u198,app11,NOT_REVIEWED,manager2,2025-12-01 02:35:09.754994
u130,app15,APPROVED,,2025-08-22 02:35:09.755036
u168,app6,APPROVED,manager2,2025-03-21 02:35:09.755093
u197,app3,NOT_REVIEWED,,2025-11-24 02:35:09.755136
u115,app7,PENDING,manager1,2025-03-16 02:35:09.755177
u121,app13,NOT_REVIEWED,manager2,2025-09-02 02:35:09.755219
u222,app7,APPROVED,manager2,2025-12-19 02:35:09.755259
u112,app1,APPROVED,manager1,2025-12-17 02:35:09.755301
u109,app13,NOT_REVIEWED,manager1,2026-02-12 02:35:09.755341
u187,app9,NOT_REVIEWED,,2025-06-29 02:35:09.755383
u134,app11,PENDING,manager1,2025-12-01 02:35:09.755424
u236,app5,NOT_REVIEWED,,2025-06-30 02:35:09.755466
u149,app4,NOT_REVIEWED,manager1,2025-04-05 02:35:09.755506
u210,app1,PENDING,,2026-01-12 02:35:09.755547
u221,app12,PENDING,manager2,2025-04-11 02:35:09.755587
u173,app4,PENDING,,2025-11-08 02:35:09.755628
u169,app11,APPROVED,,2026-01-26 02:35:09.755670
u232,app4,NOT_REVIEWED,manager1,2025-12-30 02:35:09.755710
u153,app19,PENDING,manager2,2025-09-06 02:35:09.755749
u180,app15,APPROVED,manager1,2025-09-23 02:35:09.755789
u196,app19,APPROVED,manager2,2025-09-16 02:35:09.755831
u125,app4,NOT_REVIEWED,manager1,2026-02-01 02:35:09.755873
u160,app1,PENDING,manager1,2025-10-25 02:35:09.755914
u101,app3,PENDING,manager2,2026-01-20 02:35:09.755955
u167,app7,APPROVED,,2025-11-10 02:35:09.755996
u127,app5,PENDING,manager1,2025-04-11 02:35:09.756036
u234,app4,APPROVED,manager2,2025-10-30 02:35:09.756075
u189,app10,NOT_REVIEWED,manager1,2026-02-07 02:35:09.756119
u150,app3,NOT_REVIEWED,manager1,2026-02-22 02:35:09.756160
u193,app9,PENDING,manager2,2025-11-28 02:35:09.756201
u175,app0,APPROVED,manager1,2025-10-01 02:35:09.756244
u226,app13,PENDING,manager2,2025-09-21 02:35:09.756284
u240,app7,APPROVED,manager2,2025-06-16 02:35:09.756325
u115,app6,NOT_REVIEWED,,2025-06-10 02:35:09.756366
u178,app2,NOT_REVIEWED,manager2,2025-05-26 02:35:09.756406
u156,app8,NOT_REVIEWED,manager1,2026-01-25 02:35:09.756447
u145,app12,APPROVED,,2025-05-22 02:35:09.756490
u234,app17,PENDING,manager1,2025-07-28 02:35:09.756531
u140,app17,APPROVED,manager1,2026-03-03 02:35:09.756573
u218,app1,PENDING,manager1,2025-03-20 02:35:09.756615
u212,app8,NOT_REVIEWED,manager1,2026-01-26 02:35:09.756656
u231,app3,APPROVED,manager2,2025-12-01 02:35:09.756696
u231,app13,APPROVED,manager2,2025-10-09 02:35:09.756736
u185,app10,APPROVED,,2025-12-01 02:35:09.756808
u229,app7,NOT_REVIEWED,manager2,2025-06-01 02:35:09.756900
u175,app13,PENDING,manager2,2026-02-12 02:35:09.756943
u188,app16,NOT_REVIEWED,manager2,2025-10-10 02:35:09.756985
u249,app4,APPROVED,manager2,2025-09-20 02:35:09.757025
u176,app7,PENDING,,2025-06-23 02:35:09.757083
u236,app17,NOT_REVIEWED,,2026-01-10 02:35:09.757131
u188,app0,NOT_REVIEWED,manager1,2025-09-25 02:35:09.757178
u234,app9,PENDING,manager1,2025-07-11 02:35:09.757222
u191,app6,NOT_REVIEWED,manager1,2025-08-09 02:35:09.757264
u229,app12,APPROVED,,2025-07-26 02:35:09.757315
u238,app17,APPROVED,manager2,2025-10-28 02:35:09.757358
u190,app13,PENDING,manager2,2025-09-06 02:35:09.757400
u241,app13,APPROVED,manager1,2025-08-04 02:35:09.757440
u235,app16,PENDING,manager1,2025-05-19 02:35:09.757479
u105,app13,PENDING,manager2,2025-06-10 02:35:09.757521
u187,app16,NOT_REVIEWED,,2025-05-23 02:35:09.757567
u228,app0,NOT_REVIEWED,manager1,2025-04-17 02:35:09.757608
u127,app9,NOT_REVIEWED,manager2,2025-11-19 02:35:09.757649
u108,app8,APPROVED,manager2,2025-04-16 02:35:09.757689
u234,app16,PENDING,manager2,2025-03-13 02:35:09.757732
u194,app16,PENDING,manager2,2025-11-10 02:35:09.757771
u214,app19,APPROVED,manager2,2026-01-10 02:35:09.757810
u190,app12,APPROVED,manager1,2025-10-16 02:35:09.757850
u249,app18,APPROVED,,2025-07-03 02:35:09.757889
u211,app6,NOT_REVIEWED,manager2,2025-06-30 02:35:09.757928
u121,app14,PENDING,manager1,2025-09-12 02:35:09.757967
u213,app3,NOT_REVIEWED,manager2,2025-06-24 02:35:09.758006
u100,app9,NOT_REVIEWED,manager1,2025-03-10 02:35:09.758044
u107,app2,APPROVED,manager1,2025-09-11 02:35:09.758084
u238,app1,NOT_REVIEWED,manager1,2025-11-30 02:35:09.758124
u243,app17,APPROVED,manager1,2025-09-03 02:35:09.758163
u154,app13,NOT_REVIEWED,manager1,2025-11-14 02:35:09.758202
u172,app7,APPROVED,manager2,2025-10-25 02:35:09.758241
u194,app12,NOT_REVIEWED,,2025-06-02 02:35:09.758281
u155,app7,PENDING,manager1,2025-09-28 02:35:09.758320
u139,app11,PENDING,manager1,2025-12-11 02:35:09.758357
u197,app10,APPROVED,manager1,2025-06-17 02:35:09.758397
u179,app13,APPROVED,manager2,2025-07-31 02:35:09.758436
u138,app14,APPROVED,,2026-02-22 02:35:09.758477
u157,app16,NOT_REVIEWED,manager2,2025-06-23 02:35:09.758515
u157,app8,PENDING,manager1,2025-06-24 02:35:09.758555
u248,app0,APPROVED,,2026-02-22 02:35:09.758593
u202,app11,PENDING,,2025-03-16 02:35:09.758632
u220,app9,NOT_REVIEWED,,2025-10-28 02:35:09.758672
u139,app0,APPROVED,manager1,2025-08-09 02:35:09.758713
u206,app14,APPROVED,manager2,2025-12-23 02:35:09.758759
u165,app18,APPROVED,,2025-08-11 02:35:09.758806
u200,app2,PENDING,,2025-06-11 02:35:09.758850
u150,app0,PENDING,,2025-11-24 02:35:09.758898
u240,app12,APPROVED,manager2,2025-03-22 02:35:09.758943
u212,app14,PENDING,manager2,2025-09-26 02:35:09.758980
u195,app9,NOT_REVIEWED,manager2,2025-09-06 02:35:09.759033
u210,app19,NOT_REVIEWED,manager1,2025-04-29 02:35:09.759096
u249,app14,PENDING,manager1,2026-02-13 02:35:09.759152
u168,app1,NOT_REVIEWED,,2025-04-22 02:35:09.759223
u183,app19,PENDING,manager2,2026-01-15 02:35:09.759279
u173,app14,PENDING,manager2,2025-04-21 02:35:09.759333
u132,app16,NOT_REVIEWED,,2025-09-02 02:35:09.759382
u114,app19,PENDING,manager1,2025-06-27 02:35:09.759429
u221,app0,APPROVED,manager2,2025-10-28 02:35:09.759477
u248,app5,APPROVED,,2025-09-15 02:35:09.759519
u221,app0,APPROVED,,2025-10-04 02:35:09.759555
u134,app14,PENDING,manager1,2025-03-12 02:35:09.759593
u215,app2,APPROVED,,2025-04-10 02:35:09.759630
u134,app18,NOT_REVIEWED,manager2,2025-08-17 02:35:09.759668
u235,app16,APPROVED,manager2,2025-10-08 02:35:09.759705
u128,app11,PENDING,manager1,2025-11-07 02:35:09.759742
u187,app4,NOT_REVIEWED,manager2,2026-02-20 02:35:09.759778
u217,app0,PENDING,manager1,2025-11-17 02:35:09.759816
u133,app18,APPROVED,,2025-04-14 02:35:09.759853
u243,app11,PENDING,manager2,2025-10-23 02:35:09.759893
u165,app14,PENDING,manager1,2025-12-14 02:35:09.759929
u168,app12,PENDING,manager1,2025-08-26 02:35:09.759965
u129,app14,APPROVED,manager1,2025-08-01 02:35:09.760004
u129,app0,NOT_REVIEWED,manager2,2025-04-28 02:35:09.760041
u215,app5,NOT_REVIEWED,manager2,2025-05-13 02:35:09.760077
u230,app13,APPROVED,,2025-04-20 02:35:09.760115
u242,app17,APPROVED,manager1,2026-02-02 02:35:09.760153
u220,app4,APPROVED,,2025-10-12 02:35:09.760192
u191,app13,PENDING,manager2,2025-04-17 02:35:09.760230
u144,app8,APPROVED,,2025-12-10 02:35:09.760272
u107,app19,NOT_REVIEWED,manager2,2025-10-17 02:35:09.760309
u140,app12,PENDING,,2025-06-12 02:35:09.760347
u178,app5,APPROVED,,2025-09-05 02:35:09.760386
u226,app1,APPROVED,manager2,2026-01-13 02:35:09.760422
u192,app6,PENDING,,2025-04-07 02:35:09.760459
u142,app19,APPROVED,manager1,2025-08-17 02:35:09.760497
u132,app9,PENDING,manager1,2025-07-24 02:35:09.760536
u198,app10,APPROVED,manager2,2025-05-10 02:35:09.760585
u227,app8,NOT_REVIEWED,,2025-10-03 02:35:09.760624
u104,app17,NOT_REVIEWED,manager1,2026-03-07 02:35:09.760661
u227,app17,NOT_REVIEWED,manager1,2026-01-02 02:35:09.760698
u243,app17,APPROVED,,2025-11-05 02:35:09.760735
u175,app1,APPROVED,manager1,2025-03-31 02:35:09.760773
u207,app17,APPROVED,manager2,2025-11-20 02:35:09.760810
u140,app4,APPROVED,manager2,2025-10-21 02:35:09.760848
u144,app7,NOT_REVIEWED,manager2,2026-02-27 02:35:09.760885
u147,app1,NOT_REVIEWED,,2025-05-21 02:35:09.760921
u212,app10,PENDING,,2025-05-10 02:35:09.760956
u248,app10,NOT_REVIEWED,manager1,2025-12-30 02:35:09.760992
u126,app6,NOT_REVIEWED,manager2,2025-11-21 02:35:09.761026
u225,app3,PENDING,,2025-09-09 02:35:09.761072
u231,app4,APPROVED,manager1,2025-07-28 02:35:09.761111
u219,app18,NOT_REVIEWED,,2025-12-10 02:35:09.761147
u110,app5,NOT_REVIEWED,manager2,2025-08-28 02:35:09.761183
u222,app15,PENDING,manager1,2025-04-20 02:35:09.761217
u243,app17,APPROVED,,2025-05-17 02:35:09.761256
u217,app6,APPROVED,manager2,2025-09-22 02:35:09.761291
u216,app6,APPROVED,manager1,2025-12-25 02:35:09.761326
u174,app16,NOT_REVIEWED,manager1,2025-12-09 02:35:09.761361
u159,app0,APPROVED,manager2,2026-01-07 02:35:09.761396
u217,app7,APPROVED,,2025-10-29 02:35:09.761431
u105,app13,PENDING,manager1,2025-11-09 02:35:09.761466
u226,app18,APPROVED,manager2,2025-03-20 02:35:09.761502
u245,app7,NOT_REVIEWED,manager2,2025-05-31 02:35:09.761537
u110,app12,APPROVED,manager1,2026-01-02 02:35:09.761576
u102,app16,NOT_REVIEWED,,2025-05-21 02:35:09.761610
u215,app2,NOT_REVIEWED,manager2,2025-04-10 02:35:09.761645
u172,app16,APPROVED,,2025-12-13 02:35:09.761680
u220,app4,APPROVED,manager1,2026-01-01 02:35:09.761715
u113,app12,PENDING,manager1,2025-03-13 02:35:09.761752
u133,app10,APPROVED,manager1,2025-08-21 02:35:09.761789
u229,app10,NOT_REVIEWED,,2025-03-22 02:35:09.761824
u248,app11,PENDING,manager2,2025-12-28 02:35:09.761863
u168,app14,PENDING,,2026-02-12 02:35:09.761900
u161,app13,NOT_REVIEWED,manager1,2025-04-17 02:35:09.761935
u137,app5,NOT_REVIEWED,manager1,2026-03-01 02:35:09.761970
u232,app0,PENDING,manager2,2026-01-05 02:35:09.762004
u148,app19,PENDING,,2025-07-14 02:35:09.762038
u130,app10,NOT_REVIEWED,manager1,2025-03-31 02:35:09.762072
u209,app15,PENDING,,2026-02-07 02:35:09.762107
u156,app1,APPROVED,manager2,2025-08-28 02:35:09.762141
u181,app13,NOT_REVIEWED,manager1,2025-07-17 02:35:09.762176
u165,app1,PENDING,manager2,2025-11-03 02:35:09.762211
u212,app9,PENDING,,2025-05-01 02:35:09.762245
u189,app11,APPROVED,manager2,2025-09-30 02:35:09.762279
u121,app6,APPROVED,manager1,2025-12-12 02:35:09.762312
u248,app15,APPROVED,,2025-07-31 02:35:09.762347
u128,app15,APPROVED,manager1,2025-04-01 02:35:09.762381
u194,app19,NOT_REVIEWED,manager1,2026-02-13 02:35:09.762415
u226,app12,PENDING,,2025-12-14 02:35:09.762450
u149,app7,NOT_REVIEWED,manager2,2025-12-03 02:35:09.762482
u215,app15,NOT_REVIEWED,manager1,2025-09-10 02:35:09.762516
u230,app8,NOT_REVIEWED,manager1,2025-05-27 02:35:09.762550
u123,app4,PENDING,,2026-02-03 02:35:09.762584
u152,app5,PENDING,,2026-02-12 02:35:09.762618
u232,app4,APPROVED,manager2,2025-11-21 02:35:09.762654
u124,app13,PENDING,manager1,2025-05-09 02:35:09.762688
u127,app18,PENDING,manager2,2025-06-24 02:35:09.762722
u219,app6,PENDING,manager2,2025-04-07 02:35:09.762757
u227,app5,APPROVED,manager1,2025-07-13 02:35:09.762791
u114,app4,NOT_REVIEWED,manager2,2025-04-15 02:35:09.762825
u140,app8,PENDING,manager1,2025-03-11 02:35:09.762860
u221,app10,APPROVED,manager2,2025-05-11 02:35:09.762894
u216,app1,APPROVED,manager1,2025-04-26 02:35:09.762927
u178,app0,PENDING,manager1,2026-01-30 02:35:09.762962
u215,app8,PENDING,manager1,2025-07-08 02:35:09.762996
u211,app3,PENDING,,2025-06-30 02:35:09.763028
u164,app16,PENDING,manager1,2025-12-31 02:35:09.763069
u173,app19,PENDING,manager1,2025-10-10 02:35:09.763109
u213,app5,NOT_REVIEWED,manager1,2025-11-04 02:35:09.763143
u233,app3,APPROVED,manager2,2026-01-29 02:35:09.763177
u166,app18,PENDING,manager2,2026-02-28 02:35:09.763211
u104,app6,NOT_REVIEWED,,2025-08-11 02:35:09.763245
u105,app0,NOT_REVIEWED,manager2,2025-04-21 02:35:09.763280
u104,app5,APPROVED,manager2,2025-07-07 02:35:09.763313
u116,app16,PENDING,manager2,2025-12-11 02:35:09.763347
u165,app2,NOT_REVIEWED,manager1,2025-10-15 02:35:09.763380
u166,app4,NOT_REVIEWED,manager2,2025-06-15 02:35:09.763413
u193,app10,NOT_REVIEWED,manager2,2025-11-16 02:35:09.763449
u214,app15,NOT_REVIEWED,,2025-09-30 02:35:09.763482
u166,app8,APPROVED,manager2,2025-07-31 02:35:09.763514
u176,app13,PENDING,manager2,2025-09-25 02:35:09.763545
u201,app4,APPROVED,manager2,2025-10-14 02:35:09.763577
u178,app18,NOT_REVIEWED,,2026-02-12 02:35:09.763610
u160,app15,NOT_REVIEWED,,2025-11-19 02:35:09.763643
u181,app8,NOT_REVIEWED,manager2,2025-08-15 02:35:09.763676
u235,app8,APPROVED,manager2,2025-05-04 02:35:09.763707
u166,app0,PENDING,,2025-04-27 02:35:09.763740
u205,app3,PENDING,manager1,2025-08-16 02:35:09.763772
u112,app7,NOT_REVIEWED,manager2,2025-07-22 02:35:09.763805
u212,app2,NOT_REVIEWED,manager1,2025-10-16 02:35:09.763838
u191,app14,PENDING,manager2,2025-09-25 02:35:09.763869
u166,app3,APPROVED,,2025-11-09 02:35:09.763903
u142,app4,PENDING,manager1,2026-01-21 02:35:09.763939
u101,app3,APPROVED,,2026-02-17 02:35:09.763972
u171,app13,NOT_REVIEWED,manager2,2026-02-18 02:35:09.764005
u196,app5,APPROVED,,2025-03-29 02:35:09.764037
u179,app5,APPROVED,manager2,2025-09-02 02:35:09.764070
u118,app4,APPROVED,manager2,2026-01-03 02:35:09.764103
u104,app6,PENDING,manager2,2025-03-19 02:35:09.764138
u235,app0,PENDING,manager2,2025-04-25 02:35:09.764171
u165,app16,APPROVED,manager1,2025-10-12 02:35:09.764204
u205,app6,NOT_REVIEWED,,2025-11-18 02:35:09.764235
u169,app13,APPROVED,,2026-02-12 02:35:09.764267
u123,app2,APPROVED,manager2,2025-08-30 02:35:09.764300
u170,app0,APPROVED,manager2,2025-05-03 02:35:09.764332
u220,app18,NOT_REVIEWED,manager1,2025-08-05 02:35:09.764366
u112,app14,NOT_REVIEWED,manager2,2025-03-26 02:35:09.764398
u245,app18,NOT_REVIEWED,manager1,2026-01-22 02:35:09.764430
