user_id,full_name,department,manager,employment_type,status,start_date,end_date
u130,User_30,Logistics,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u131,User_31,Compliance,manager_6,CONTRACTOR,TERMINATED,2022-01-01,
u132,User_32,HR,manager_6,EMPLOYEE,TERMINATED,2022-01-01,
u133,User_33,Logistics,manager_10,CONTRACTOR,ACTIVE,2022-01-01,
u134,User_34,Operations,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u135,User_35,Logistics,manager_10,EMPLOYEE,TERMINATED,2022-01-01,
u136,User_36,Procurement,manager_4,EMPLOYEE,TERMINATED,2022-01-01,
u137,User_37,Finance,manager_10,EMPLOYEE,TERMINATED,2022-01-01,
u138,User_38,Legal,manager_1,EMPLOYEE,TERMINATED,2022-01-01,
u139,User_39,Operations,manager_1,CONTRACTOR,ACTIVE,2022-01-01,
u140,User_40,Operations,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u141,User_41,HR,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u142,User_42,Finance,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u143,User_43,HR,manager_1,EMPLOYEE,ACTIVE,2022-01-01,
u144,User_44,Compliance,manager_7,EMPLOYEE,ACTIVE,2022-01-01,
u145,User_45,HR,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u146,User_46,Operations,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u147,User_47,Compliance,manager_4,CONTRACTOR,ACTIVE,2022-01-01,
u148,User_48,Logistics,manager_8,CONTRACTOR,ACTIVE,2022-01-01,
u149,User_49,Legal,manager_1,EMPLOYEE,ACTIVE,2022-01-01,
u150,User_50,Compliance,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u151,User_51,Logistics,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u152,User_52,Logistics,manager_3,EMPLOYEE,ACTIVE,2022-01-01,
u153,User_53,Logistics,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u154,User_54,Finance,manager_1,EMPLOYEE,TERMINATED,2022-01-01,
u155,User_55,HR,manager_5,CONTRACTOR,ACTIVE,2022-01-01,
u156,User_56,Logistics,manager_6,EMPLOYEE,ACTIVE,2022-01-01,
u157,User_57,Procurement,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u158,User_58,Procurement,manager_9,CONTRACTOR,TERMINATED,2022-01-01,
u159,User_59,Legal,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u160,User_60,HR,manager_3,CONTRACTOR,TERMINATED,2022-01-01,
u161,User_61,IT,manager_6,EMPLOYEE,ACTIVE,2022-01-01,
u162,User_62,Procurement,manager_5,CONTRACTOR,ACTIVE,2022-01-01,
u163,User_63,Logistics,manager_1,EMPLOYEE,ACTIVE,2022-01-01,
u164,User_64,Procurement,manager_1,EMPLOYEE,ACTIVE,2022-01-01,
u165,User_65,Operations,manager_6,CONTRACTOR,ACTIVE,2022-01-01,
u166,User_66,Logistics,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u167,User_67,HR,manager_3,CONTRACTOR,ACTIVE,2022-01-01,
u168,User_68,Procurement,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u169,User_69,Procurement,manager_10,CONTRACTOR,ACTIVE,2022-01-01,
u170,User_70,Procurement,manager_6,CONTRACTOR,TERMINATED,2022-01-01,
u171,User_71,HR,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u172,User_72,IT,manager_6,CONTRACTOR,ACTIVE,2022-01-01,
u173,User_73,Finance,manager_3,EMPLOYEE,ACTIVE,2022-01-01,
u174,User_74,HR,manager_8,CONTRACTOR,ACTIVE,2022-01-01,
u175,User_75,Logistics,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u176,User_76,HR,manager_8,CONTRACTOR,TERMINATED,2022-01-01,
u177,User_77,HR,manager_1,CONTRACTOR,ACTIVE,2022-01-01,
u178,User_78,Legal,manager_4,CONTRACTOR,ACTIVE,2022-01-01,
u179,User_79,Procurement,manager_5,CONTRACTOR,TERMINATED,2022-01-01,
u180,User_80,Legal,manager_3,CONTRACTOR,TERMINATED,2022-01-01,
u181,User_81,Compliance,manager_8,EMPLOYEE,ACTIVE,2022-01-01,
u182,User_82,Legal,manager_6,EMPLOYEE,TERMINATED,2022-01-01,
u183,User_83,Legal,manager_9,CONTRACTOR,TERMINATED,2022-01-01,
u184,User_84,IT,manager_4,CONTRACTOR,ACTIVE,2022-01-01,
u185,User_85,Procurement,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u186,User_86,Operations,manager_4,CONTRACTOR,TERMINATED,2022-01-01,
u187,User_87,Compliance,manager_8,EMPLOYEE,TERMINATED,2022-01-01,
u188,User_88,Legal,manager_4,CONTRACTOR,TERMINATED,2022-01-01,
u189,User_89,Procurement,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u190,User_90,Logistics,manager_6,EMPLOYEE,ACTIVE,2022-01-01,
u191,User_91,HR,manager_3,CONTRACTOR,ACTIVE,2022-01-01,
u192,User_92,IT,manager_5,CONTRACTOR,ACTIVE,2022-01-01,
u193,User_93,Logistics,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u194,User_94,IT,manager_6,CONTRACTOR,ACTIVE,2022-01-01,
u195,User_95,Finance,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u196,User_96,Legal,manager_9,EMPLOYEE,ACTIVE,2022-01-01,
u197,User_97,Legal,manager_8,EMPLOYEE,ACTIVE,2022-01-01,
u198,User_98,Legal,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u199,User_99,Finance,manager_7,EMPLOYEE,TERMINATED,2022-01-01,
u200,User_100,HR,manager_4,CONTRACTOR,ACTIVE,2022-01-01,
u201,User_101,IT,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u202,User_102,HR,manager_9,EMPLOYEE,ACTIVE,2022-01-01,
u203,User_103,Logistics,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u204,User_104,IT,manager_3,EMPLOYEE,ACTIVE,2022-01-01,
u205,User_105,Operations,manager_6,CONTRACTOR,ACTIVE,2022-01-01,
u206,User_106,HR,manager_1,CONTRACTOR,ACTIVE,2022-01-01,
u207,User_107,Legal,manager_5,EMPLOYEE,ACTIVE,2022-01-01,
u208,User_108,Logistics,manager_7,EMPLOYEE,TERMINATED,2022-01-01,
u209,User_109,Finance,manager_8,CONTRACTOR,TERMINATED,2022-01-01,
u210,User_110,IT,manager_8,EMPLOYEE,ACTIVE,2022-01-01,
u211,User_111,Logistics,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u212,User_112,Procurement,manager_9,EMPLOYEE,ACTIVE,2022-01-01,
u213,User_113,Logistics,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u214,User_114,Legal,manager_3,EMPLOYEE,ACTIVE,2022-01-01,
u215,User_115,Finance,manager_2,EMPLOYEE,ACTIVE,2022-01-01,
u216,User_116,Procurement,manager_3,CONTRACTOR,ACTIVE,2022-01-01,
u217,User_117,Logistics,manager_5,EMPLOYEE,ACTIVE,2022-01-01,
u218,User_118,Procurement,manager_2,CONTRACTOR,TERMINATED,2022-01-01,
u219,User_119,Procurement,manager_10,EMPLOYEE,TERMINATED,2022-01-01,
u220,User_120,Finance,manager_1,EMPLOYEE,TERMINATED,2022-01-01,
u221,User_121,IT,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u222,User_122,Procurement,manager_8,CONTRACTOR,ACTIVE,2022-01-01,
u223,User_123,IT,manager_7,EMPLOYEE,ACTIVE,2022-01-01,
u224,User_124,Finance,manager_10,CONTRACTOR,TERMINATED,2022-01-01,
u225,User_125,Procurement,manager_6,CONTRACTOR,ACTIVE,2022-01-01,
u226,User_126,HR,manager_10,CONTRACTOR,ACTIVE,2022-01-01,
u227,User_127,IT,manager_1,CONTRACTOR,ACTIVE,2022-01-01,
u228,User_128,HR,manager_10,CONTRACTOR,TERMINATED,2022-01-01,
u229,User_129,Logistics,manager_10,CONTRACTOR,TERMINATED,2022-01-01,
u230,User_130,Finance,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u231,User_131,HR,manager_9,EMPLOYEE,ACTIVE,2022-01-01,
u232,User_132,Finance,manager_2,CONTRACTOR,TERMINATED,2022-01-01,
u233,User_133,HR,manager_1,CONTRACTOR,ACTIVE,2022-01-01,
u234,User_134,Procurement,manager_9,EMPLOYEE,ACTIVE,2022-01-01,
u235,User_135,Legal,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u236,User_136,IT,manager_9,EMPLOYEE,TERMINATED,2022-01-01,
u237,User_137,Procurement,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u238,User_138,Finance,manager_4,EMPLOYEE,ACTIVE,2022-01-01,
u239,User_139,Operations,manager_3,CONTRACTOR,ACTIVE,2022-01-01,
u240,User_140,Logistics,manager_10,CONTRACTOR,ACTIVE,2022-01-01,
u241,User_141,Operations,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u242,User_142,HR,manager_5,CONTRACTOR,ACTIVE,2022-01-01,
u243,User_143,Procurement,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u244,User_144,Procurement,manager_2,EMPLOYEE,ACTIVE,2022-01-01,
u245,User_145,Compliance,manager_2,EMPLOYEE,ACTIVE,2022-01-01,
u246,User_146,Legal,manager_6,EMPLOYEE,TERMINATED,2022-01-01,
u247,User_147,Logistics,manager_10,EMPLOYEE,TERMINATED,2022-01-01,
u248,User_148,Logistics,manager_3,EMPLOYEE,ACTIVE,2022-01-01,
u249,User_149,Legal,manager_1,CONTRACTOR,TERMINATED,2022-01-01,
