gap_type,user,application,role,severity
DORMANT_ACCOUNT,User_142,AML Monitoring,ROLE_13,MEDIUM
DORMANT_ACCOUNT,User_62,Security Monitoring,ROLE_25,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_26,HR Analytics,ROLE_29,HIGH
DORMANT_ACCOUNT,User_7,ServiceNow,ROLE_53,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_105,AML Monitoring,ROLE_2,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_140,Logistics Planning,ROLE_31,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_97,AML Monitoring,ROLE_36,HIGH
MISSING_REVIEW,User_136,Finance BI,ROLE_32,MEDIUM
DORMANT_ACCOUNT,User_137,Procurement Hub,ROLE_56,MEDIUM
MISSING_REVIEW,User_137,Procurement Hub,ROLE_56,MEDIUM
DORMANT_ACCOUNT,User_53,Legal Repository,ROLE_28,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_116,Legal Repository,ROLE_42,HIGH
ORPHANED_ACCOUNT,User_88,Logistics Planning,ROLE_31,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_88,Logistics Planning,ROLE_31,HIGH
DORMANT_ACCOUNT,User_119,Risk Dashboard,ROLE_4,MEDIUM
DORMANT_ACCOUNT,User_36,Procurement Hub,ROLE_6,MEDIUM
ORPHANED_ACCOUNT,User_136,Vendor Portal,ROLE_38,HIGH
DORMANT_ACCOUNT,User_136,Vendor Portal,ROLE_38,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_62,Finance BI,ROLE_32,HIGH
DORMANT_ACCOUNT,User_0,Legal Repository,ROLE_35,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_0,Legal Repository,ROLE_35,HIGH
DORMANT_ACCOUNT,User_62,ServiceNow,ROLE_1,MEDIUM
DORMANT_ACCOUNT,User_2,Security Monitoring,ROLE_59,MEDIUM
ORPHANED_ACCOUNT,User_37,Security Monitoring,ROLE_58,HIGH
DORMANT_ACCOUNT,User_24,Risk Dashboard,ROLE_10,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_24,Risk Dashboard,ROLE_10,HIGH
DORMANT_ACCOUNT,User_97,Legal Repository,ROLE_35,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_97,Legal Repository,ROLE_35,HIGH
DORMANT_ACCOUNT,User_5,Finance BI,ROLE_33,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_5,Finance BI,ROLE_33,HIGH
DORMANT_ACCOUNT,User_1,Vessel Tracking,ROLE_18,MEDIUM
ORPHANED_ACCOUNT,User_87,Legal Repository,ROLE_34,HIGH
DORMANT_ACCOUNT,User_87,Legal Repository,ROLE_34,MEDIUM
DORMANT_ACCOUNT,User_81,Risk Dashboard,ROLE_4,MEDIUM
DORMANT_ACCOUNT,User_58,Legal Repository,ROLE_35,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_58,Legal Repository,ROLE_35,HIGH
DORMANT_ACCOUNT,User_129,Procurement Hub,ROLE_6,MEDIUM
DORMANT_ACCOUNT,User_101,Logistics Planning,ROLE_43,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_109,Finance BI,ROLE_33,HIGH
ORPHANED_ACCOUNT,User_87,Splunk,ROLE_22,HIGH
MISSING_REVIEW,User_87,Splunk,ROLE_22,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_61,HR Analytics,ROLE_29,HIGH
DORMANT_ACCOUNT,User_73,Legal Repository,ROLE_35,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_73,Legal Repository,ROLE_35,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_133,Finance BI,ROLE_32,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_85,AML Monitoring,ROLE_57,HIGH
ORPHANED_ACCOUNT,User_108,Security Monitoring,ROLE_52,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_49,Legal Repository,ROLE_35,HIGH
DORMANT_ACCOUNT,User_9,ServiceNow,ROLE_49,MEDIUM
ORPHANED_ACCOUNT,User_119,Security Monitoring,ROLE_37,HIGH
DORMANT_ACCOUNT,User_119,Security Monitoring,ROLE_37,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_119,Security Monitoring,ROLE_37,HIGH
DORMANT_ACCOUNT,User_134,ServiceNow,ROLE_1,MEDIUM
ORPHANED_ACCOUNT,User_36,Vendor Portal,ROLE_15,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_48,HR Analytics,ROLE_29,HIGH
DORMANT_ACCOUNT,User_41,Vessel Tracking,ROLE_18,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_104,Legal Repository,ROLE_42,HIGH
DORMANT_ACCOUNT,User_81,AML Monitoring,ROLE_13,MEDIUM
ORPHANED_ACCOUNT,User_120,Vendor Portal,ROLE_14,HIGH
DORMANT_ACCOUNT,User_122,AML Monitoring,ROLE_40,MEDIUM
DORMANT_ACCOUNT,User_63,Legal Repository,ROLE_42,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_63,Legal Repository,ROLE_42,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_0,Finance BI,ROLE_33,HIGH
DORMANT_ACCOUNT,User_133,Workday HR,ROLE_23,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_133,Workday HR,ROLE_23,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_42,AML Monitoring,ROLE_2,HIGH
MISSING_REVIEW,User_113,Salesforce,ROLE_8,MEDIUM
ORPHANED_ACCOUNT,User_119,Legal Repository,ROLE_11,HIGH
DORMANT_ACCOUNT,User_103,HR Analytics,ROLE_44,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_53,AML Monitoring,ROLE_57,HIGH
DORMANT_ACCOUNT,User_104,Security Monitoring,ROLE_25,MEDIUM
DORMANT_ACCOUNT,User_66,Workday HR,ROLE_30,MEDIUM
ORPHANED_ACCOUNT,User_88,Fleet Operations,ROLE_9,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_88,Fleet Operations,ROLE_9,HIGH
DORMANT_ACCOUNT,User_45,Logistics Planning,ROLE_43,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_3,AML Monitoring,ROLE_57,HIGH
DORMANT_ACCOUNT,User_117,AML Monitoring,ROLE_57,MEDIUM
ORPHANED_ACCOUNT,User_76,Board Portal,ROLE_51,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_141,Finance BI,ROLE_33,HIGH
ORPHANED_ACCOUNT,User_8,Salesforce,ROLE_8,HIGH
DORMANT_ACCOUNT,User_95,Vendor Portal,ROLE_14,MEDIUM
DORMANT_ACCOUNT,User_47,Container Tracking,ROLE_20,MEDIUM
ORPHANED_ACCOUNT,User_38,Logistics Planning,ROLE_31,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_38,Logistics Planning,ROLE_31,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_97,Vendor Portal,ROLE_55,HIGH
DORMANT_ACCOUNT,User_91,Risk Dashboard,ROLE_4,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_111,AML Monitoring,ROLE_2,HIGH
ORPHANED_ACCOUNT,User_21,HR Analytics,ROLE_19,HIGH
DORMANT_ACCOUNT,User_89,Procurement Hub,ROLE_56,MEDIUM
DORMANT_ACCOUNT,User_77,ServiceNow,ROLE_1,MEDIUM
ORPHANED_ACCOUNT,User_119,HR Analytics,ROLE_44,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_52,Splunk,ROLE_22,HIGH
DORMANT_ACCOUNT,User_102,Security Monitoring,ROLE_52,MEDIUM
DORMANT_ACCOUNT,User_100,Legal Repository,ROLE_11,MEDIUM
DORMANT_ACCOUNT,User_80,Procurement Hub,ROLE_6,MEDIUM
DORMANT_ACCOUNT,User_55,Security Monitoring,ROLE_25,MEDIUM
ORPHANED_ACCOUNT,User_14,AML Monitoring,ROLE_45,HIGH
ORPHANED_ACCOUNT,User_86,AML Monitoring,ROLE_57,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_86,AML Monitoring,ROLE_57,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_19,Procurement Hub,ROLE_3,HIGH
ORPHANED_ACCOUNT,User_129,Legal Repository,ROLE_35,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_129,Legal Repository,ROLE_35,HIGH
DORMANT_ACCOUNT,User_100,HR Analytics,ROLE_29,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_100,HR Analytics,ROLE_29,HIGH
DORMANT_ACCOUNT,User_130,Vendor Portal,ROLE_55,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_130,Vendor Portal,ROLE_55,HIGH
DORMANT_ACCOUNT,User_115,AML Monitoring,ROLE_36,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_115,AML Monitoring,ROLE_36,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_82,Splunk,ROLE_16,HIGH
DORMANT_ACCOUNT,User_34,Vendor Portal,ROLE_55,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_34,Vendor Portal,ROLE_55,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_147,Logistics Planning,ROLE_24,HIGH
ORPHANED_ACCOUNT,User_109,Security Monitoring,ROLE_12,HIGH
DORMANT_ACCOUNT,User_96,Vendor Portal,ROLE_14,MEDIUM
DORMANT_ACCOUNT,User_70,HR Analytics,ROLE_44,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_1,HR Analytics,ROLE_29,HIGH
MISSING_REVIEW,User_92,HR Analytics,ROLE_44,MEDIUM
DORMANT_ACCOUNT,User_57,Board Portal,ROLE_26,MEDIUM
DORMANT_ACCOUNT,User_89,Salesforce,ROLE_48,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_78,Board Portal,ROLE_39,HIGH
ORPHANED_ACCOUNT,User_147,AML Monitoring,ROLE_57,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_147,AML Monitoring,ROLE_57,HIGH
ORPHANED_ACCOUNT,User_136,Finance BI,ROLE_32,HIGH
MISSING_REVIEW,User_136,Finance BI,ROLE_32,MEDIUM
ORPHANED_ACCOUNT,User_86,Fleet Operations,ROLE_9,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_86,Fleet Operations,ROLE_9,HIGH
DORMANT_ACCOUNT,User_61,Logistics Planning,ROLE_31,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_61,Logistics Planning,ROLE_31,HIGH
DORMANT_ACCOUNT,User_78,Salesforce,ROLE_8,MEDIUM
ORPHANED_ACCOUNT,User_80,Board Portal,ROLE_39,HIGH
DORMANT_ACCOUNT,User_80,Board Portal,ROLE_39,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_80,Board Portal,ROLE_39,HIGH
DORMANT_ACCOUNT,User_1,Procurement Hub,ROLE_3,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_1,Procurement Hub,ROLE_3,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_61,AML Monitoring,ROLE_36,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_3,Logistics Planning,ROLE_24,HIGH
ORPHANED_ACCOUNT,User_37,Legal Repository,ROLE_28,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_5,Security Monitoring,ROLE_37,HIGH
ORPHANED_ACCOUNT,User_147,Logistics Planning,ROLE_31,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_147,Logistics Planning,ROLE_31,HIGH
DORMANT_ACCOUNT,User_63,Container Tracking,ROLE_17,MEDIUM
ORPHANED_ACCOUNT,User_82,Vendor Portal,ROLE_15,HIGH
ORPHANED_ACCOUNT,User_32,AML Monitoring,ROLE_50,HIGH
DORMANT_ACCOUNT,User_32,AML Monitoring,ROLE_50,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_131,Security Monitoring,ROLE_37,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_134,Workday HR,ROLE_23,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_116,Legal Repository,ROLE_35,HIGH
ORPHANED_ACCOUNT,User_14,HR Analytics,ROLE_44,HIGH
DORMANT_ACCOUNT,User_14,HR Analytics,ROLE_44,MEDIUM
ORPHANED_ACCOUNT,User_108,Splunk,ROLE_16,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_108,Splunk,ROLE_16,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_105,Splunk,ROLE_16,HIGH
ORPHANED_ACCOUNT,User_54,Procurement Hub,ROLE_56,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_124,AML Monitoring,ROLE_57,HIGH
ORPHANED_ACCOUNT,User_37,Container Tracking,ROLE_5,HIGH
DORMANT_ACCOUNT,User_37,Container Tracking,ROLE_5,MEDIUM
DORMANT_ACCOUNT,User_36,AML Monitoring,ROLE_40,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_127,Logistics Planning,ROLE_24,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_2,Fleet Operations,ROLE_9,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_137,Legal Repository,ROLE_42,HIGH
ORPHANED_ACCOUNT,User_124,Legal Repository,ROLE_28,HIGH
DORMANT_ACCOUNT,User_126,Salesforce,ROLE_48,MEDIUM
DORMANT_ACCOUNT,User_80,Vendor Portal,ROLE_47,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_114,Finance BI,ROLE_33,HIGH
ORPHANED_ACCOUNT,User_132,Container Tracking,ROLE_20,HIGH
DORMANT_ACCOUNT,User_132,Container Tracking,ROLE_20,MEDIUM
ORPHANED_ACCOUNT,User_120,Board Portal,ROLE_51,HIGH
ORPHANED_ACCOUNT,User_82,Security Monitoring,ROLE_59,HIGH
ORPHANED_ACCOUNT,User_88,Vendor Portal,ROLE_38,HIGH
ORPHANED_ACCOUNT,User_8,Container Tracking,ROLE_5,HIGH
ORPHANED_ACCOUNT,User_70,Legal Repository,ROLE_34,HIGH
DORMANT_ACCOUNT,User_70,Legal Repository,ROLE_34,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_78,AML Monitoring,ROLE_2,HIGH
DORMANT_ACCOUNT,User_125,AML Monitoring,ROLE_57,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_125,AML Monitoring,ROLE_57,HIGH
ORPHANED_ACCOUNT,User_16,Security Monitoring,ROLE_12,HIGH
DORMANT_ACCOUNT,User_17,ServiceNow,ROLE_53,MEDIUM
DORMANT_ACCOUNT,User_96,AML Monitoring,ROLE_57,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_96,AML Monitoring,ROLE_57,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_144,Logistics Planning,ROLE_31,HIGH
DORMANT_ACCOUNT,User_30,Security Monitoring,ROLE_58,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_97,Vendor Portal,ROLE_55,HIGH
DORMANT_ACCOUNT,User_48,Logistics Planning,ROLE_31,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_48,Logistics Planning,ROLE_31,HIGH
DORMANT_ACCOUNT,User_59,ServiceNow,ROLE_1,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_45,Logistics Planning,ROLE_24,HIGH
ORPHANED_ACCOUNT,User_54,ServiceNow,ROLE_49,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_48,Finance BI,ROLE_33,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_85,Fleet Operations,ROLE_9,HIGH
ORPHANED_ACCOUNT,User_124,Container Tracking,ROLE_17,HIGH
DORMANT_ACCOUNT,User_124,Container Tracking,ROLE_17,MEDIUM
ORPHANED_ACCOUNT,User_86,Logistics Planning,ROLE_31,HIGH
DORMANT_ACCOUNT,User_86,Logistics Planning,ROLE_31,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_86,Logistics Planning,ROLE_31,HIGH
ORPHANED_ACCOUNT,User_83,Procurement Hub,ROLE_21,HIGH
DORMANT_ACCOUNT,User_83,Procurement Hub,ROLE_21,MEDIUM
ORPHANED_ACCOUNT,User_146,ServiceNow,ROLE_49,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_14,Workday HR,ROLE_23,HIGH
DORMANT_ACCOUNT,User_115,Legal Repository,ROLE_28,MEDIUM
DORMANT_ACCOUNT,User_136,ServiceNow,ROLE_1,MEDIUM
DORMANT_ACCOUNT,User_51,Vendor Portal,ROLE_55,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_51,Vendor Portal,ROLE_55,HIGH
ORPHANED_ACCOUNT,User_60,Security Monitoring,ROLE_54,HIGH
DORMANT_ACCOUNT,User_110,ServiceNow,ROLE_53,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_19,Finance BI,ROLE_33,HIGH
ORPHANED_ACCOUNT,User_31,Security Monitoring,ROLE_54,HIGH
DORMANT_ACCOUNT,User_31,Security Monitoring,ROLE_54,MEDIUM
DORMANT_ACCOUNT,User_139,Security Monitoring,ROLE_54,MEDIUM
DORMANT_ACCOUNT,User_39,Board Portal,ROLE_39,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_39,Board Portal,ROLE_39,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_103,AML Monitoring,ROLE_36,HIGH
ORPHANED_ACCOUNT,User_109,Risk Dashboard,ROLE_10,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_109,Risk Dashboard,ROLE_10,HIGH
ORPHANED_ACCOUNT,User_128,HR Analytics,ROLE_19,HIGH
DORMANT_ACCOUNT,User_128,HR Analytics,ROLE_19,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_64,Legal Repository,ROLE_35,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_136,AML Monitoring,ROLE_57,HIGH
ORPHANED_ACCOUNT,User_99,Legal Repository,ROLE_11,HIGH
DORMANT_ACCOUNT,User_10,Security Monitoring,ROLE_54,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_85,Logistics Planning,ROLE_31,HIGH
ORPHANED_ACCOUNT,User_120,Legal Repository,ROLE_35,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_120,Legal Repository,ROLE_35,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_19,Procurement Hub,ROLE_3,HIGH
ORPHANED_ACCOUNT,User_60,Security Monitoring,ROLE_25,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_47,Splunk,ROLE_16,HIGH
ORPHANED_ACCOUNT,User_54,Container Tracking,ROLE_20,HIGH
DORMANT_ACCOUNT,User_54,Container Tracking,ROLE_20,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_89,Board Portal,ROLE_39,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_73,Workday HR,ROLE_23,HIGH
DORMANT_ACCOUNT,User_19,Salesforce,ROLE_48,MEDIUM
ORPHANED_ACCOUNT,User_58,AML Monitoring,ROLE_40,HIGH
DORMANT_ACCOUNT,User_20,Splunk,ROLE_16,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_20,Splunk,ROLE_16,HIGH
DORMANT_ACCOUNT,User_92,Workday HR,ROLE_30,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_25,Legal Repository,ROLE_42,HIGH
ORPHANED_ACCOUNT,User_149,Legal Repository,ROLE_42,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_149,Legal Repository,ROLE_42,HIGH
DORMANT_ACCOUNT,User_111,Board Portal,ROLE_26,MEDIUM
DORMANT_ACCOUNT,User_103,HR Analytics,ROLE_44,MEDIUM
DORMANT_ACCOUNT,User_72,Security Monitoring,ROLE_58,MEDIUM
ORPHANED_ACCOUNT,User_124,AML Monitoring,ROLE_36,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_124,AML Monitoring,ROLE_36,HIGH
MISSING_REVIEW,User_114,Vendor Portal,ROLE_27,MEDIUM
ORPHANED_ACCOUNT,User_37,AML Monitoring,ROLE_50,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_15,Finance BI,ROLE_32,HIGH
DORMANT_ACCOUNT,User_105,Workday HR,ROLE_23,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_105,Workday HR,ROLE_23,HIGH
ORPHANED_ACCOUNT,User_38,Security Monitoring,ROLE_58,HIGH
DORMANT_ACCOUNT,User_38,Security Monitoring,ROLE_58,MEDIUM
DORMANT_ACCOUNT,User_34,HR Analytics,ROLE_44,MEDIUM
DORMANT_ACCOUNT,User_71,Vendor Portal,ROLE_55,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_71,Vendor Portal,ROLE_55,HIGH
DORMANT_ACCOUNT,User_122,Logistics Planning,ROLE_24,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_122,Logistics Planning,ROLE_24,HIGH
ORPHANED_ACCOUNT,User_118,Board Portal,ROLE_51,HIGH
DORMANT_ACCOUNT,User_20,Board Portal,ROLE_26,MEDIUM
ORPHANED_ACCOUNT,User_146,Workday HR,ROLE_30,HIGH
DORMANT_ACCOUNT,User_146,Workday HR,ROLE_30,MEDIUM
ORPHANED_ACCOUNT,User_146,Vendor Portal,ROLE_47,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_114,Logistics Planning,ROLE_31,HIGH
DORMANT_ACCOUNT,User_77,Vendor Portal,ROLE_47,MEDIUM
DORMANT_ACCOUNT,User_143,Finance BI,ROLE_32,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_143,Finance BI,ROLE_32,HIGH
DORMANT_ACCOUNT,User_143,Finance BI,ROLE_32,MEDIUM
DORMANT_ACCOUNT,User_143,Finance BI,ROLE_32,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_143,Finance BI,ROLE_32,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_93,HR Analytics,ROLE_29,HIGH
